Customer,Model_Type,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F0,F0,0.320523535,6070.495346,22.98862457,40.33138275,37.35698032,1969.278717,0,63.85964912,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F0,F1,0.297629762,10701.30196,22.98862457,86.64,37.35698032,6529.152,0,134.7929825,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F0,F2,0.245108754,8482.499437,22.98862457,64.45,37.35698032,4231.36,0,213.7824561,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F0,F3,0.21930896,10010.69031,22.98862457,70,37.35698032,5600,0,373.3333333,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F1,F0,0.320521154,6079.411402,23.70178223,40.33138275,46.27303569,1969.278717,0,63.85964912,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F1,F1,0.297627381,10710.21802,23.70178223,86.64,46.27303569,6529.152,0,134.7929825,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F1,F2,0.245106373,8491.415492,23.70178223,64.45,46.27303569,4231.36,0,213.7824561,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F1,F3,0.219306579,10019.60637,23.70178223,70,46.27303569,5600,0,373.3333333,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F2,F0,0.320519342,6088.570919,24.43458557,40.33138275,55.43255297,1969.278717,0,63.85964912,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F2,F1,0.297625569,10719.37754,24.43458557,86.64,55.43255297,6529.152,0,134.7929825,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F2,F2,0.245104561,8500.575009,24.43458557,64.45,55.43255297,4231.36,0,213.7824561,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F2,F3,0.219304767,10028.76589,24.43458557,70,55.43255297,5600,0,373.3333333,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F3,F0,0.320518821,6097.983804,25.18760681,40.33138275,64.845438,1969.278717,0,63.85964912,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F3,F1,0.297625048,10728.79042,25.18760681,86.64,64.845438,6529.152,0,134.7929825,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F3,F2,0.245104039,8509.987894,25.18760681,64.45,64.845438,4231.36,0,213.7824561,GPU-Limited (Main Phase)
Customer A,CNN,6716P-B,B200 Water,1,8,Air,F3,F3,0.219304246,10038.17877,25.18760681,70,64.845438,5600,0,373.3333333,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F0,F0,6.496902925,18324.41102,22.98862457,162.87,37.35698032,13201.44,0,1085.614035,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F0,F1,6.032839961,10248.83768,22.98862457,70,37.35698032,3920,0,2291.480702,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F0,F2,4.968224926,12151.65873,22.98862457,70,37.35698032,4480,0,3634.301754,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F0,F3,4.445256137,15984.02365,22.98862457,70,37.35698032,5600,0,6346.666667,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F1,F0,6.496898164,18333.32707,23.70178223,162.87,46.27303569,13201.44,0,1085.614035,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F1,F1,6.032835199,10257.75374,23.70178223,70,46.27303569,3920,0,2291.480702,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F1,F2,4.968220164,12160.57479,23.70178223,70,46.27303569,4480,0,3634.301754,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F1,F3,4.445251375,15992.9397,23.70178223,70,46.27303569,5600,0,6346.666667,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F2,F0,6.49689454,18342.48659,24.43458557,162.87,55.43255297,13201.44,0,1085.614035,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F2,F1,6.032831576,10266.91325,24.43458557,70,55.43255297,3920,0,2291.480702,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F2,F2,4.968216541,12169.73431,24.43458557,70,55.43255297,4480,0,3634.301754,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F2,F3,4.445247752,16002.09922,24.43458557,70,55.43255297,5600,0,6346.666667,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F3,F0,6.496893497,18351.89947,25.18760681,162.87,64.845438,13201.44,0,1085.614035,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F3,F1,6.032830533,10276.32614,25.18760681,70,64.845438,3920,0,2291.480702,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F3,F2,4.968215498,12179.14719,25.18760681,70,64.845438,4480,0,3634.301754,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F3,F3,4.445246708,16011.5121,25.18760681,70,64.845438,5600,0,6346.666667,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F0,1.144704121,19388.37172,22.98862457,173.51,37.35698032,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F1,1.062940646,9979.251717,22.98862457,70,37.35698032,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F2,0.875365616,11724.09382,22.98862457,70,37.35698032,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F3,0.783223496,15237.35698,22.98862457,70,37.35698032,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F0,1.144700682,19397.28777,23.70178223,173.51,46.27303569,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F1,1.062937207,9988.167773,23.70178223,70,46.27303569,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F2,0.875362177,11733.00988,23.70178223,70,46.27303569,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F3,0.783220057,15246.27304,23.70178223,70,46.27303569,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F0,1.144698065,19406.44729,24.43458557,173.51,55.43255297,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F1,1.06293459,9997.32729,24.43458557,70,55.43255297,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F2,0.87535956,11742.1694,24.43458557,70,55.43255297,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F3,0.78321744,15255.43255,24.43458557,70,55.43255297,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F0,1.144697311,19415.86017,25.18760681,173.51,64.845438,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F1,1.062933837,10006.74017,25.18760681,70,64.845438,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F2,0.875358807,11751.58228,25.18760681,70,64.845438,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F3,0.783216687,15264.84544,25.18760681,70,64.845438,5600,0,5600,GPU-Limited (Main Phase)
